mda	reaction	name
11.4049959552564	rxn05201_c	Hypoxanthine_hydrogen_symport
11.8389772548652	rxn00022_c	Maltose_glucohydrolase
11.9741641762249	EX_cpd00246_e	Inosine_exchange
12.0562816510046	rxn01200_c	D-Glyceraldehyde-3-phosphate_transferase
12.116144271693	rxn00785_c	D-Fructose_6-phosphate_glycolaldehyde_transferase
12.2448413883785	EX_cpd00029_e	Acetate_exchange
12.7639789826008	rxn05467_c	CO2_transport_via_diffusion
13.3279825252889	EX_cpd00011_e	CO2_exchange
13.3444445929928	rxn08061_c	Acetate_transport_via_proton_symport
13.8374846643474	rxn00931_c	L-Proline_5-oxidoreductase
15.1723154359764	rxn01333_c	Sedoheptulose-7-phosphate_glyceronetransferase
15.2166957740464	rxn00223_c	D-Glucose_aldose-ketose-isomerase
15.8354075811225	rxn01870_c	D-Fructose_1-phosphate_glyceraldehyde-3-phosphate-lyase
16.1382430279127	rxn00182_c	L-Glutamate_oxidoreductase
16.1745009955019	rxn01484_c	N-Acetyl-D-glucosamine-6-phosphate_amidohydrolase
16.1805886072105	rxn05496_c	L-Alanine_transporter
16.6007112225448	rxn12188_c	2-Deoxyglucose-6-phosphatase
16.6435104335385	R00258_c	Alanine_transaminase
16.9012939905073	EX_cpd00035_e	L-Alanine_exchange
21.1216568350279	rxn00747_c	D-Glyceraldehyde-3-phosphate_aldose-ketose-isomerase
