mda	reaction	name
14.4673535744367	rxn05672_c	D-Glutamate_transport_in_via_proton_symport
13.6727074584657	EX_cpd00307_e	Cytosine_exchange
13.4578915517208	rxn01648_c	Orthophosphate_alpha-D-ribosyltransferase
13.3849163354104	rxn05527_c	Cytosine_hydrogen_symport
12.3717947442665	EX_cpd00186_e	D-Glutamate_exchange
9.56803356892222	rxn00297_c	UDP-N-acetyl-D-glucosamine_2-epimerase
9.53222537217618	rxn01953_c	N-Acetylmannosaminohydrolase
9.50952270714989	rxn01505_c	N-Acetylglucosamine_1-phosphate_1,6-phosphomutase
9.16562379348757	rxn00001_c	Diphosphate_phosphohydrolase
8.91815108117268	rxn00293_c	N-Acetylglucosamine-1-phosphate_uridylyltransferase
7.87717451630455	rxn01236_c	Butanoate_1-phosphotransferase
7.36041078716273	EX_cpd00039_e	L-Lysine_exchange
7.33622741805054	rxn05151_c	ATP_phosphohydrolase_(polar_amino_acid_importing)
6.92905690898013	EX_cpd00311_e	Guanosine_exchange
6.26832670057542	rxn01345_c	Sedoheptulose_1,7-bisphosphate_1-phosphohydrolase
5.60457059269249	rxn00337_c	L-Aspartate_4-phosphotransferase
5.50369580634064	rxn05569_c	D-Glucosamine_transport_via_PEP:Pyr_PTS
5.45340436321336	rxn02928_c	NAD+_oxidoreductase
5.28728777974335	rxn12566_c	5-Aminopentanoate_transport_via_proton_symport
4.9026451077657	rxn10484_c	Diaminopimelate_dehydrogenase
