Exchange reaction ID	Substrate	Median optimal flux	significance
EX_cpd00276_e	D-Glucosamine	56.77960069459466	*
EX_cpd00001_e	H2O	-533.9853669160468	*
EX_cpd00023_e	L-Glutamate	-18.373199693201627	NA
EX_cpd00971_e	Na+	-0.09431827357991551	n.s.
EX_cpd00051_e	L-Arginine	-6.036369509060023	n.s.
EX_cpd00064_e	Ornithine	-151.9410131161249	n.s.
EX_cpd10515_e	Fe2+	-0.0943182735791197	n.s.
EX_cpd00009_e	Phosphate	-53.991196004530934	n.s.
EX_cpd00060_e	L-Methionine	-5.0931867732693945	n.s.
EX_cpd00067_e	H+	-523.7919224010933	*
EX_cpd00122_e	N-Acetyl-D-glucosamine	994.1221574028139	n.s.
EX_cpd00035_e	L-Alanine	-625.4352243793279	*
EX_cpd00220_e	Riboflavin	-0.10375010093707715	n.s.
EX_cpd00117_e	D-Alanine	-99.03418725801714	n.s.
EX_cpd00307_e	Cytosine	780.3364929532615	n.s.
EX_cpd00254_e	Mg	-0.0943182735791197	n.s.
EX_cpd00205_e	K+	-0.0943182735791197	n.s.
EX_cpd00065_e	L-Tryptophan	-1.2072739018120728	n.s.
EX_cpd00149_e	Co2+	-0.0943182735791197	n.s.
EX_cpd00099_e	Cl-	-0.0943182735791197	n.s.
EX_cpd00104_e	Biotin	-0.0943182735791197	n.s.
EX_cpd00011_e	CO2	866.7519068859356	n.s.
EX_cpd00063_e	Ca2+	-0.0943182735791197	n.s.
EX_cpd00156_e	L-Valine	-28.946278161415794	*
EX_cpd00039_e	L-Lysine	-45.53686248397173	n.s.
EX_cpd00393_e	Folate	-0.09431827357889233	n.s.
EX_cpd00322_e	L-Isoleucine	-902.7491238907161	n.s.
EX_cpd00030_e	Mn2+	-0.0943182735791197	n.s.
EX_cpd00084_e	L-Cysteine	-2.5371615592771377	n.s.
EX_cpd00644_e	Pantothenate	-0.1980683745166516	n.s.
EX_cpd00263_e	Pyridoxol	-0.0943182735791197	n.s.
EX_cpd00232_e	N-Acetyl-Neuraminic acid	-178.95420184433482	*
EX_cpd00107_e	L-Leucine	-160.12294185555942	n.s.
EX_cpd00069_e	L-Tyrosine	-7.847280361778189	n.s.
EX_cpd00066_e	L-Phenylalanine	-8.26228076552593	n.s.
EX_cpd00567_e	D-Proline	-703.2155821851176	n.s.
EX_cpd00119_e	L-Histidine	-2.565457041350669	n.s.
EX_cpd00132_e	L-Asparagine	-12.148193636983365	n.s.
EX_cpd00054_e	L-Serine	-142.02351909378388	*
EX_cpd00161_e	L-Threonine	-9.356372739043081	n.s.
EX_cpd00041_e	L-Aspartate	-41.301972000273054	n.s.
EX_cpd05178_e	Isovalerate	142.48925767223204	n.s.
EX_cpd01711_e	Isobutyrate	16.571720667842044	*
EX_cpd19585_e	2-Methylbutyrate	883.960923793769	n.s.
EX_cpd00339_e	5-Aminopentanoate	698.046940792985	n.s.
EX_cpd00029_e	Acetate	1000.0	n.s.
EX_cpd00013_e	Ammonia	817.6108232223683	n.s.
EX_cpd00133_e	Nicotinamide	-0.47159136789548484	n.s.
EX_cpd00047_e	Formate	1000.0	n.s.
EX_cpd00311_e	Guanosine	-999.9999999999999	*
EX_cpd00367_e	Cytidine	-450.64895744567406	NA
EX_cpd00654_e	Deoxycytidine	-2.9710256177404517	n.s.
EX_cpd00412_e	Deoxyuridine	-339.0659067132199	n.s.
EX_cpd00438_e	Deoxyadenosine	11.38274614230022	n.s.
EX_cpd00186_e	D-Glutamate	-56.59096414743806	n.s.
EX_cpd00207_e	Guanine	994.9348407244931	n.s.
