Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin.1.pruned	o__Bacteroidales (UID2617)	213	406	265	63	343	0	0	0	0	83.21	0.00	0.00
bin.10.pruned	f__Lachnospiraceae (UID1286)	57	420	207	127	285	8	0	0	0	78.67	1.67	37.50
bin.11.pruned	k__Bacteria (UID203)	5449	103	57	14	77	12	0	0	0	80.70	3.51	50.00
bin.12.pruned	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
bin.13.pruned	o__Bacteroidales (UID2617)	213	406	265	156	250	0	0	0	0	65.66	0.00	0.00
bin.14.pruned	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
bin.15.pruned	o__Clostridiales (UID1212)	172	263	149	90	165	8	0	0	0	65.50	2.30	0.00
bin.16.pruned	o__Clostridiales (UID1212)	172	263	149	102	161	0	0	0	0	57.66	0.00	0.00
bin.17.pruned	o__Bacteroidales (UID2617)	213	406	265	52	353	1	0	0	0	86.34	0.02	100.00
bin.18.pruned	k__Bacteria (UID203)	5449	103	57	2	24	38	26	12	1	96.49	134.47	24.75
bin.19.pruned	k__Bacteria (UID203)	5449	103	57	80	23	0	0	0	0	33.33	0.00	0.00
bin.2.pruned	k__Bacteria (UID203)	5449	103	57	74	29	0	0	0	0	44.74	0.00	0.00
bin.20.pruned	o__Bacteroidales (UID2617)	213	406	265	17	388	1	0	0	0	95.09	0.38	0.00
bin.21.pruned	o__Clostridiales (UID1212)	172	263	149	26	237	0	0	0	0	88.59	0.00	0.00
bin.22.pruned	o__Bacteroidales (UID2617)	213	406	265	184	222	0	0	0	0	55.03	0.00	0.00
bin.23.pruned	k__Bacteria (UID203)	5449	104	58	91	13	0	0	0	0	15.67	0.00	0.00
bin.24.pruned	o__Bacteroidales (UID2617)	213	406	265	32	374	0	0	0	0	91.70	0.00	0.00
bin.25.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.26.pruned	o__Bacteroidales (UID2617)	213	406	265	192	214	0	0	0	0	47.17	0.00	0.00
bin.27.pruned	o__Clostridiales (UID1212)	172	263	149	16	246	1	0	0	0	92.62	0.67	0.00
bin.28.pruned	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	18.97	0.00	0.00
bin.29.pruned	f__Lachnospiraceae (UID1255)	90	354	174	20	328	6	0	0	0	95.29	2.45	0.00
bin.3.pruned	o__Clostridiales (UID1212)	172	263	149	57	204	2	0	0	0	79.53	0.69	50.00
bin.30.pruned	o__Clostridiales (UID1212)	172	263	149	64	197	2	0	0	0	74.20	1.34	100.00
bin.31.pruned	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	6.90	0.00	0.00
bin.32.pruned	c__Clostridia (UID1118)	387	223	124	54	168	1	0	0	0	71.37	0.81	0.00
bin.33.pruned	o__Clostridiales (UID1212)	172	263	149	35	227	1	0	0	0	85.68	0.22	0.00
bin.34.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.35.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.36.pruned	o__Bacteroidales (UID2617)	213	406	265	73	332	1	0	0	0	77.55	0.38	0.00
bin.37.pruned	g__Bacteroides (UID2691)	33	839	309	128	708	3	0	0	0	84.51	0.43	33.33
bin.38.pruned	k__Bacteria (UID2329)	174	149	89	19	129	1	0	0	0	83.15	1.12	0.00
bin.39.pruned	o__Bacteroidales (UID2617)	213	406	265	107	297	2	0	0	0	69.50	0.25	0.00
bin.4.pruned	k__Bacteria (UID203)	5449	103	57	100	3	0	0	0	0	3.86	0.00	0.00
bin.40.pruned	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	16.88	0.00	0.00
bin.41.pruned	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	15.52	0.00	0.00
bin.42.pruned	f__Lachnospiraceae (UID1255)	90	354	174	25	317	12	0	0	0	93.28	3.26	8.33
bin.43.pruned	k__Bacteria (UID2372)	131	177	106	50	120	7	0	0	0	66.97	3.71	28.57
bin.44.pruned	c__Clostridia (UID1118)	387	223	124	120	103	0	0	0	0	45.49	0.00	0.00
bin.45.pruned	o__Clostridiales (UID1212)	172	263	149	176	81	6	0	0	0	35.12	1.68	0.00
bin.46.pruned	c__Clostridia (UID1118)	387	223	124	54	169	0	0	0	0	70.97	0.00	0.00
bin.47.pruned	f__Lachnospiraceae (UID1255)	90	354	174	42	305	7	0	0	0	91.66	2.59	14.29
bin.48.pruned	k__Bacteria (UID203)	5449	103	57	80	23	0	0	0	0	27.46	0.00	0.00
bin.49.pruned	k__Bacteria (UID203)	5449	104	58	83	21	0	0	0	0	29.31	0.00	0.00
bin.5.pruned	o__Clostridiales (UID1226)	155	278	158	32	241	5	0	0	0	88.01	2.06	20.00
