Exchange reaction ID	Substrate	Median optimal flux	significance
EX_cpd00276_e	D-Glucosamine	42.71060703238961	*
EX_cpd00001_e	H2O	-509.36197040516765	*
EX_cpd00971_e	Na+	-0.09739020608367355	n.s.
EX_cpd00051_e	L-Arginine	-6.232973188661106	n.s.
EX_cpd00064_e	Ornithine	-184.84563773984854	n.s.
EX_cpd10515_e	Fe2+	-0.09739020607275961	n.s.
EX_cpd00009_e	Phosphate	-55.749681429246095	n.s.
EX_cpd00060_e	L-Methionine	-5.259071127921288	n.s.
EX_cpd00067_e	H+	-557.11499661433	*
EX_cpd00122_e	N-Acetyl-D-glucosamine	1000.0	n.s.
EX_cpd00035_e	L-Alanine	-649.9531018880851	*
EX_cpd00220_e	Riboflavin	-0.10712922667994462	n.s.
EX_cpd00117_e	D-Alanine	-102.25971637624718	n.s.
EX_cpd00307_e	Cytosine	332.1492978106579	n.s.
EX_cpd00254_e	Mg	-0.09739020607264592	n.s.
EX_cpd00205_e	K+	-0.09739020607275961	n.s.
EX_cpd00065_e	L-Tryptophan	-1.2465946377295722	n.s.
EX_cpd00149_e	Co2+	-0.09739020607264592	n.s.
EX_cpd00099_e	Cl-	-0.09739020607264592	n.s.
EX_cpd00226_e	Hypoxanthine	454.97364500359294	NA
EX_cpd00104_e	Biotin	-0.09739020607275961	n.s.
EX_cpd00011_e	CO2	914.4115556540985	n.s.
EX_cpd00063_e	Ca2+	-0.09739020607264592	n.s.
EX_cpd00156_e	L-Valine	-29.90983463352029	*
EX_cpd00039_e	L-Lysine	-1.4234646851630539e-11	n.s.
EX_cpd00393_e	Folate	-0.09739020607253224	n.s.
EX_cpd00322_e	L-Isoleucine	-917.927133057069	n.s.
EX_cpd00030_e	Mn2+	-0.09739020607264592	n.s.
EX_cpd00084_e	L-Cysteine	-2.6197965433550507	n.s.
EX_cpd00644_e	Pantothenate	-0.20451943275418216	n.s.
EX_cpd00263_e	Pyridoxol	-0.09739020607275961	n.s.
EX_cpd00232_e	N-Acetyl-Neuraminic acid	-182.4118559740093	*
EX_cpd00107_e	L-Leucine	-203.6679208511623	n.s.
EX_cpd00069_e	L-Tyrosine	-8.102865145241822	n.s.
EX_cpd00066_e	L-Phenylalanine	-8.531382051961145	n.s.
EX_cpd00567_e	D-Proline	-665.4761172429423	n.s.
EX_cpd00119_e	L-Histidine	-2.6490136051752415	n.s.
EX_cpd00132_e	L-Asparagine	-12.543858542152861	n.s.
EX_cpd00054_e	L-Serine	-136.22616306827695	*
EX_cpd00161_e	L-Threonine	-9.661108442403588	n.s.
EX_cpd00041_e	L-Aspartate	-89.66716273105533	n.s.
EX_cpd05178_e	Isovalerate	185.92778083294803	n.s.
EX_cpd01711_e	Isobutyrate	17.123355963207246	*
EX_cpd19585_e	2-Methylbutyrate	898.1772239224539	n.s.
EX_cpd00339_e	5-Aminopentanoate	660.1212251481564	n.s.
EX_cpd00029_e	Acetate	1000.0	n.s.
EX_cpd00013_e	Ammonia	839.9129131889621	n.s.
EX_cpd00133_e	Nicotinamide	-0.48695103036641285	n.s.
EX_cpd00047_e	Formate	1000.0	n.s.
EX_cpd00246_e	Inosine	-454.97364500359294	NA
EX_cpd00311_e	Guanosine	-1000.0	*
EX_cpd00654_e	Deoxycytidine	-3.0677914912880624	n.s.
EX_cpd00412_e	Deoxyuridine	-350.10923412755034	n.s.
EX_cpd00438_e	Deoxyadenosine	11.753480533572997	n.s.
EX_cpd00186_e	D-Glutamate	-77.40573578652004	n.s.
EX_cpd00207_e	Guanine	994.7021091670456	n.s.
