id	name	bounds	flux_expression	id_reaction_str	name_reaction_str
teichoicacid_rxn	Teichoic acid biosynthesis	(0.0, 1000.0)	1.0*teichoicacid_rxn - 1.0*teichoicacid_rxn_reverse_c7182	cpd00402_c + cpd02967_c --> cpd00046_c + cpd12894_c	CDPglycerol + N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D- glucosaminyldiphosphoundecaprenol --> CMP + Teichoic acid
peptidoglycan_rxn	Peptidoglycan synthesis	(0.0, 1000.0)	1.0*peptidoglycan_rxn - 1.0*peptidoglycan_rxn_reverse_59726	cpd00001_c + 4.0 cpd00002_c + cpd03491_c + cpd03495_c --> 4.0 cpd00008_c + 4.0 cpd00009_c + 0.5 cpd00117_c + cpd02229_c + cpd16661_c	H2O + 4.0 ATP + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala --> 4.0 ADP + 4.0 Phosphate + 0.5 D-Alanine + Bactoprenyl diphosphate + Peptidoglycan polymer
cellwall_rxn	Cell wall biosynthesis	(0.0, 1000.0)	1.0*cellwall_rxn - 1.0*cellwall_rxn_reverse_a32e7	0.05 cpd12894_c + 1.5 cpd16661_c --> cellwall_c	0.05 Teichoic acid + 1.5 Peptidoglycan polymer --> Cell Wall polymer
lipid_rxn	Lipid composition	(0.0, 1000.0)	1.0*lipid_rxn - 1.0*lipid_rxn_reverse_ee596	0.005 cpd15540_c + 0.005 cpd15543_c + 0.005 cpd15545_c + 0.005 cpd15728_c + 0.005 cpd15729_c + 0.005 cpd15737_c + 0.005 cpd15738_c --> cpd11852_c	0.005 Phosphatidylglycerol dioctadecanoyl + 0.005 Phosphatidylglycerophosphate ditetradecanoyl + 0.005 Phosphatidylglycerophosphate dihexadecanoyl + 0.005 Diglucosyl-1,2 dipalmitoylglycerol + 0.005 Diglucosyl-1,2 dimyristoylglycerol + 0.005 Monoglucosyl-1,2 dipalmitoylglycerol + 0.005 Monoglucosyl-1,2 dimyristoylglycerol --> Lipid Pool
cofactor_rxn	Cofactor Pool	(0.0, 1000.0)	1.0*cofactor_rxn - 1.0*cofactor_rxn_reverse_b40de	0.005 cpd00002_c + 0.005 cpd00003_c + 0.005 cpd00004_c + 0.005 cpd00005_c + 0.005 cpd00006_c + 0.005 cpd00008_c + 0.5 cpd00009_c + 0.0005 cpd00010_c + 0.005 cpd00012_c + 0.0005 cpd00015_c + 0.005 cpd00022_c + 0.005 cpd00030_c + 0.005 cpd00031_c + 0.005 cpd00038_c + 0.005 cpd00063_c + 0.005 cpd00099_c + 0.005 cpd00104_c + 0.005 cpd00133_c + 0.005 cpd00149_c + 0.005 cpd00205_c + 0.005 cpd00220_c + 0.005 cpd00254_c + 0.005 cpd00263_c + 0.005 cpd00305_c + 0.005 cpd00393_c + 0.005 cpd00443_c + 0.005 cpd00644_c + 0.005 cpd00971_c + 0.005 cpd10515_c --> cofactor_c	0.005 ATP + 0.005 NAD + 0.005 NADH + 0.005 NADPH + 0.005 NADP + 0.005 ADP + 0.5 Phosphate + 0.0005 CoA + 0.005 PPi + 0.0005 FAD + 0.005 Acetyl-CoA + 0.005 Mn2+ + 0.005 GDP + 0.005 GTP + 0.005 Ca2+ + 0.005 Cl- + 0.005 Biotin + 0.005 Nicotinamide + 0.005 Co2+ + 0.005 K+ + 0.005 Riboflavin + 0.005 Mg + 0.005 Pyridoxol + 0.005 Thiamin + 0.005 Folate + 0.005 4-Aminobenzoate + 0.005 (R)-Pantothenate + 0.005 Na+ + 0.005 Fe2+ --> Cofactor Pool
biomass	Biomass Reaction	(0.0, 1000.0)	1.0*biomass - 1.0*biomass_reverse_01e59	0.2 cellwall_c + 0.2 cofactor_c + 20.0 cpd00001_c + 20.0 cpd00002_c + 0.05 cpd11852_c + 0.4 cpd17041_c + 0.05 cpd17042_c + 0.15 cpd17043_c --> 20.0 cpd00008_c + 20.0 cpd00009_c + cpd11416_c	0.2 Cell Wall polymer + 0.2 Cofactor Pool + 20.0 H2O + 20.0 ATP + 0.05 Lipid Pool + 0.4 Protein biosynthesis + 0.05 DNA replication + 0.15 RNA transcription --> 20.0 ADP + 20.0 Phosphate + Biomass
rxn06300_c	L-Alanine:tRNA(Ala) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06300_c - 1.0*rxn06300_c_reverse_eb9a3	cpd00002_c + cpd00035_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd11770_c	ATP + L-Alanine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Alanyl-tRNA
rxn06432_c	L-Arginine:tRNA(Arg) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06432_c - 1.0*rxn06432_c_reverse_7aefe	cpd00002_c + cpd00051_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12036_c	ATP + L-Arginine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Arginyl-tRNA
rxn06434_c	L-Asparagine:tRNA(Asn) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06434_c - 1.0*rxn06434_c_reverse_778d3	cpd00002_c + cpd00132_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12313_c	ATP + L-Asparagine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Asparagyl-tRNA
rxn06936_c	L-Aspartate:tRNA(Asp) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06936_c - 1.0*rxn06936_c_reverse_703c9	cpd00002_c + cpd00041_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12226_c	ATP + L-Aspartate + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Aspartyl-tRNA
